dep,arr,dist,freq,pasN,pasV,crgN,cv_id,dep_lat,dep_lon,arr_lat,arr_lon,year
調布,新島,147.0,26.0,11934.0,23483.0,27.0,cv_00849,35.671425,139.52916,34.36959,139.268,2011
新潟,新千歳,755.0,19.0,70699.0,119194.0,27.0,cv_00850,37.95452,139.11305,42.783703,141.68295,2011
新千歳,新潟,755.0,19.0,72645.0,119074.0,59.0,cv_00851,42.783703,141.68295,37.95452,139.11305,2011
新潟,那覇,1935.0,4.0,18545.0,29332.0,15.0,cv_00852,37.95452,139.11305,26.199286,127.64285,2011
那覇,新潟,1935.0,4.0,18945.0,29882.0,0.0,cv_00853,26.199286,127.64285,37.95452,139.11305,2011
富山,新千歳,875.0,6.0,26637.0,45486.0,24.0,cv_00854,36.649124,137.18738,42.783703,141.68295,2011
新千歳,富山,875.0,6.0,29337.0,45738.0,26.0,cv_00855,42.783703,141.68295,36.649124,137.18738,2011
金沢,新千歳,959.0,6.0,32969.0,45738.0,45.0,cv_00856,36.3938,136.41144,42.783703,141.68295,2011
新千歳,金沢,959.0,7.0,34401.0,45990.0,55.0,cv_00857,42.783703,141.68295,36.3938,136.41144,2011
金沢,仙台,601.0,6.0,13286.0,21490.0,0.0,cv_00858,36.3938,136.41144,38.138416,140.91295,2011
仙台,金沢,601.0,6.0,13230.0,21580.0,0.0,cv_00859,38.138416,140.91295,36.3938,136.41144,2011
静岡,新千歳,937.0,12.0,45517.0,67192.0,88.0,cv_00860,34.79473,138.18552,42.783703,141.68295,2011
新千歳,静岡,937.0,12.0,45716.0,67173.0,0.0,cv_00861,42.783703,141.68295,34.79473,138.18552,2011
静岡,松本,154.0,1.0,1826.0,5476.0,0.0,cv_00862,34.79473,138.18552,36.166203,137.92468,2011
松本,静岡,154.0,1.0,2135.0,5400.0,0.0,cv_00863,36.166203,137.92468,34.79473,138.18552,2011
静岡,金沢,240.0,9.0,14712.0,39084.0,0.0,cv_00864,34.79473,138.18552,36.3938,136.41144,2011
金沢,静岡,240.0,9.0,15290.0,38796.0,0.0,cv_00865,36.3938,136.41144,34.79473,138.18552,2011
静岡,福岡,724.0,19.0,44650.0,80424.0,0.0,cv_00866,34.79473,138.18552,33.58499,130.44843,2011
福岡,静岡,724.0,19.0,46979.0,80460.0,0.0,cv_00867,33.58499,130.44843,34.79473,138.18552,2011
静岡,熊本,713.0,6.0,15281.0,27756.0,0.0,cv_00868,34.79473,138.18552,32.836884,130.85698,2011
熊本,静岡,713.0,6.0,9445.0,27520.0,0.0,cv_00869,32.836884,130.85698,34.79473,138.18552,2011
静岡,鹿児島,771.0,7.0,14147.0,28680.0,0.0,cv_00870,34.79473,138.18552,31.804005,130.71729,2011
鹿児島,静岡,771.0,7.0,17211.0,28780.0,0.0,cv_00871,31.804005,130.71729,34.79473,138.18552,2011
静岡,那覇,1388.0,6.0,32255.0,43572.0,54.0,cv_00872,34.79473,138.18552,26.199286,127.64285,2011
那覇,静岡,1388.0,6.0,32933.0,43584.0,2.0,cv_00873,26.199286,127.64285,34.79473,138.18552,2011
名古屋,帯広,1153.0,5.0,10095.0,16380.0,0.0,cv_00874,35.255665,136.922,42.732624,143.21616,2011
帯広,名古屋,1153.0,5.0,9794.0,16406.0,0.0,cv_00875,42.732624,143.21616,35.255665,136.922,2011
名古屋,秋田,628.0,13.0,18853.0,49746.0,0.0,cv_00876,35.255665,136.922,39.614624,140.21924,2011
秋田,名古屋,628.0,13.0,19592.0,49290.0,0.0,cv_00877,39.614624,140.21924,35.255665,136.922,2011
名古屋,山形,582.0,5.0,5498.0,15150.0,0.0,cv_00878,35.255665,136.922,38.41174,140.36989,2011
山形,名古屋,582.0,5.0,5722.0,15000.0,0.0,cv_00879,38.41174,140.36989,35.255665,136.922,2011
名古屋,新潟,495.0,13.0,16794.0,39042.0,0.0,cv_00880,35.255665,136.922,37.95452,139.11305,2011
新潟,名古屋,495.0,13.0,17028.0,39068.0,0.0,cv_00881,37.95452,139.11305,35.255665,136.922,2011
名古屋,松山,557.0,13.0,18291.0,40596.0,0.0,cv_00882,35.255665,136.922,33.82728,132.70114,2011
松山,名古屋,557.0,13.0,18070.0,40546.0,0.0,cv_00883,33.82728,132.70114,35.255665,136.922,2011
名古屋,高知,511.0,13.0,17310.0,36662.0,0.0,cv_00884,35.255665,136.922,33.546574,133.67201,2011
高知,名古屋,511.0,13.0,17731.0,36690.0,0.0,cv_00885,33.546574,133.67201,35.255665,136.922,2011
名古屋,福岡,750.0,34.0,69712.0,122956.0,0.0,cv_00886,35.255665,136.922,33.58499,130.44843,2011
福岡,名古屋,750.0,34.0,79677.0,135202.0,0.0,cv_00887,33.58499,130.44843,35.255665,136.922,2011
名古屋,長崎,852.0,5.0,8911.0,16030.0,0.0,cv_00888,35.255665,136.922,32.916122,129.9171,2011
長崎,名古屋,852.0,5.0,9364.0,15980.0,0.0,cv_00889,32.916122,129.9171,35.255665,136.922,2011
名古屋,熊本,795.0,18.0,27714.0,53378.0,0.0,cv_00890,35.255665,136.922,32.836884,130.85698,2011
熊本,名古屋,795.0,18.0,28843.0,52976.0,0.0,cv_00891,32.836884,130.85698,35.255665,136.922,2011
中部,稚内,1383.0,1.0,6682.0,11633.0,0.0,cv_00892,34.858578,136.81133,45.403435,141.79831,2011
稚内,中部,1383.0,1.0,5890.0,11633.0,0.0,cv_00893,45.403435,141.79831,34.858578,136.81133,2011
中部,釧路,1280.0,1.0,7641.0,13950.0,1.0,cv_00894,34.858578,136.81133,43.042946,144.19371,2011
釧路,中部,1280.0,1.0,7587.0,13800.0,32.0,cv_00895,43.042946,144.19371,34.858578,136.81133,2011
中部,函館,960.0,9.0,52382.0,75207.0,50.0,cv_00896,34.858578,136.81133,41.77024,140.82375,2011
函館,中部,960.0,9.0,49326.0,74910.0,154.0,cv_00897,41.77024,140.82375,34.858578,136.81133,2011
中部,旭川,1222.0,7.0,31566.0,53970.0,8.0,cv_00898,34.858578,136.81133,43.6687,142.4513,2011
旭川,中部,1222.0,7.0,30403.0,53973.0,53.0,cv_00899,43.6687,142.4513,34.858578,136.81133,2011
中部,女満別,1368.0,7.0,27310.0,46290.0,0.0,cv_00900,34.858578,136.81133,43.87951,144.16162,2011
女満別,中部,1368.0,7.0,27339.0,46286.0,34.0,cv_00901,43.87951,144.16162,34.858578,136.81133,2011
中部,新千歳,1084.0,89.0,515083.0,748742.0,3773.0,cv_00902,34.858578,136.81133,42.783703,141.68295,2011
新千歳,中部,1084.0,89.0,528785.0,750510.0,3340.0,cv_00903,42.783703,141.68295,34.858578,136.81133,2011
中部,青森,882.0,11.0,41427.0,87403.0,68.0,cv_00904,34.858578,136.81133,40.734207,140.68896,2011
青森,中部,882.0,11.0,41583.0,87999.0,88.0,cv_00905,40.734207,140.68896,34.858578,136.81133,2011
中部,花巻,787.0,4.0,18404.0,33651.0,54.0,cv_00906,34.858578,136.81133,39.428875,141.13478,2011
花巻,中部,787.0,4.0,19090.0,33651.0,12.0,cv_00907,39.428875,141.13478,34.858578,136.81133,2011
中部,仙台,657.0,41.0,149825.0,257764.0,565.0,cv_00908,34.858578,136.81133,38.138416,140.91295,2011
仙台,中部,657.0,41.0,151496.0,257913.0,313.0,cv_00909,38.138416,140.91295,34.858578,136.81133,2011
中部,秋田,721.0,11.0,20796.0,42766.0,20.0,cv_00910,34.858578,136.81133,39.614624,140.21924,2011
秋田,中部,721.0,11.0,20152.0,42692.0,0.0,cv_00911,39.614624,140.21924,34.858578,136.81133,2011
